datasize_heating1,DFT,datasize100_MLIP1,datasize100_MLIP2,datasize100_MLIP3,datasize1000_MLIP1,datasize1000_MLIP2,datasize1000_MLIP3,datasize24000_MLIP1,datasize24000_MLIP2,datasize24000_MLIP3,datasize_heating2,datasize_heating3
-741.21749,-741.52070293,-741.58079,-741.7013400000001,-741.66943,-741.71729,-741.69759,-741.87249,-741.6567299999999,-741.8083300000001,-741.61817,-741.2885200000001,-741.2406500000001
-741.21498,-741.51635217,-741.5777800000001,-741.69732,-741.66809,-741.71412,-741.69461,-741.87394,-741.65449,-741.80164,-741.61537,-741.29004,-741.24271
-741.20883,-741.51074228,-741.56742,-741.6895299999999,-741.66299,-741.7075,-741.6877,-741.8691699999999,-741.64892,-741.79113,-741.6044400000001,-741.2866300000001,-741.23945
-741.2075600000001,-741.50951391,-741.56744,-741.6868000000001,-741.66693,-741.70638,-741.68688,-741.8711500000001,-741.6492900000001,-741.78845,-741.6002,-741.2853,-741.24339
-741.2183100000001,-741.51726596,-741.5772599999999,-741.6958500000001,-741.67534,-741.71568,-741.6945599999999,-741.8799799999999,-741.6568500000001,-741.79608,-741.60737,-741.29233,-741.25386
-741.23523,-741.53583515,-741.59266,-741.71447,-741.69359,-741.73558,-741.71305,-741.89755,-741.67323,-741.8143400000001,-741.62506,-741.30773,-741.27336
-741.2605100000001,-741.55930765,-741.6213600000001,-741.7366400000001,-741.71824,-741.7614900000001,-741.73803,-741.9213299999999,-741.69134,-741.83757,-741.64612,-741.32749,-741.2970600000001
-741.28219,-741.58106456,-741.64851,-741.75944,-741.7411500000001,-741.78905,-741.76601,-741.9449900000001,-741.7112099999999,-741.85826,-741.6645599999999,-741.34536,-741.31987
-741.29077,-741.58819038,-741.65438,-741.76855,-741.7578699999999,-741.80167,-741.78053,-741.95822,-741.71426,-741.86453,-741.66913,-741.35043,-741.3262
