MLIP,DFT
-370.85179000000005,-370.91726157
-370.83848,-370.90384312
-370.80746000000005,-370.87336519
-370.77765999999997,-370.84344008
-370.75458000000003,-370.82642234
-370.74802000000005,-370.82576074
-370.75928,-370.83734159
-370.78040000000004,-370.85612053
-370.7937,-370.86567031
