MLIP,DFT
-370.45541000000003,-370.50620843
-370.4222,-370.48406877
-370.35150000000004,-370.42462595
-370.28291,-370.3616723
-370.24064,-370.32284784
-370.23299999999995,-370.32242186
-370.25979,-370.35731196
-370.3056899999999,-370.40626383
-370.32937000000004,-370.44028521
